,Date,Origin ID,Origin Name,Destination ID,Destination Name,Daily Mean Travel Time,Daily Range - Lower,Daily Range - Upper,AM Mean Travel Time,AM Range - Lower,AM Range - Upper,PM Mean Travel Time,PM Range - Lower Bound Travel Time,PM Range - Upper Bound Travel Time,Midday Mean Travel Time,Midday Range - Lower,Midday Range - Upper,Evening Mean Travel Time,Evening Range - Lower,Evening Range - Upper,Early Morning Mean Travel Time,Early Morning Range - Lower,Early Morning Range - Upper,weekday,pred_daily_mean,month
1051,2019-05-20,3692,"2nd Street and Stevenson Street, San Francisco, CA",3394,"Fisherman's Wharf, 286-298 Jefferson St, San Francisco, CA",793.0,544.0,1155.0,859.0,781.0,944.0,991.0,737.0,1334.0,778.0,547.0,1108.0,642.0,469.0,879.0,476.0,360.0,629.0,0,725.1804894743902,6
1052,2019-06-05,3692,"2nd Street and Stevenson Street, San Francisco, CA",3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",1171.0,909.0,1509.0,1379.0,1142.0,1677.0,1446.5,1121.5,1791.0,1220.0,979.0,1520.0,1062.0,871.0,1294.0,686.5,537.0,909.0,2,1236.554600925089,7
1053,2019-06-17,3692,"2nd Street and Stevenson Street, San Francisco, CA",3792,"Oracle Park, 24 Willie Mays Plaza, San Francisco, CA",512.0,331.0,792.0,480.0,351.0,656.0,665.0,397.0,1115.0,491.0,326.0,739.0,385.0,282.0,525.0,549.0,330.0,915.0,0,562.0106999339296,7
1054,2019-04-11,3394,"Fisherman's Wharf, 286-298 Jefferson St, San Francisco, CA",3692,"2nd Street and Stevenson Street, San Francisco, CA",974.0,763.0,1243.0,970.0,771.0,1220.0,1150.0,916.0,1443.0,903.0,735.0,1109.0,930.0,757.0,1144.0,642.0,546.0,755.0,3,987.361314682052,5
1055,2019-04-16,3692,"2nd Street and Stevenson Street, San Francisco, CA",3394,"Fisherman's Wharf, 286-298 Jefferson St, San Francisco, CA",821.0,567.0,1188.0,764.0,631.0,923.0,1028.0,794.0,1331.0,801.0,569.0,1127.0,762.0,540.0,1075.0,472.0,335.0,665.0,1,739.5992400722465,5
1056,2019-04-01,3692,"2nd Street and Stevenson Street, San Francisco, CA",3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",1252.0,1052.0,1490.0,1110.3848987108659,912.5,1474.1282995702886,1222.0,1036.0,1441.0,1180.0,1013.0,1447.0,1158.0,969.0,1380.5,730.0,560.0,945.0,0,1196.9078403234184,5
1057,2019-04-14,3394,"Fisherman's Wharf, 286-298 Jefferson St, San Francisco, CA",3692,"2nd Street and Stevenson Street, San Francisco, CA",939.0,702.0,1256.0,701.0,529.0,927.0,1112.0,883.0,1400.0,964.0,721.0,1289.0,821.0,660.0,1022.0,743.0,596.0,927.0,6,878.0177175134663,5
1058,2019-05-10,3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",3692,"2nd Street and Stevenson Street, San Francisco, CA",1440.0,1217.0,1705.0,1424.0,1204.0,1685.0,1613.0,1393.0,1867.0,1347.0,1192.0,1522.0,1508.0,1334.0,1704.0,979.0,819.5,1193.0,4,1435.01811619836,6
1059,2019-04-28,3692,"2nd Street and Stevenson Street, San Francisco, CA",3792,"Oracle Park, 24 Willie Mays Plaza, San Francisco, CA",349.0,234.0,520.0,289.0,172.0,486.0,439.0,307.0,628.0,344.0,236.0,502.0,373.0,257.0,541.0,342.0,246.0,476.0,6,494.1064065514838,5
1060,2019-04-22,3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",3692,"2nd Street and Stevenson Street, San Francisco, CA",1488.0,1217.0,1820.0,1537.0,1300.0,1817.0,1560.0,1276.0,1875.5,1457.0,1186.0,1788.0,1355.2394106813995,1099.0,1693.0,1006.5,849.5,1193.0,0,1394.4662410109222,5
