,0
2019-07-11,894.9777372356027
2019-07-12,908.4112177935514
2019-07-13,953.3803847450607
2019-07-14,994.0356763091294
2019-07-15,919.1803098770531
2019-07-16,905.0053512387752
2019-07-17,915.0634927750623
2019-07-18,973.8190698667512
2019-07-19,906.5014018980535
2019-07-20,919.6361450886902
2019-07-21,923.0519492622875
2019-07-22,909.403629834903
2019-07-23,919.131821951966
2019-07-24,899.0073590695512
2019-07-25,942.4835228078952
2019-07-26,886.7640501548894
2019-07-27,903.2214158543354
2019-07-28,924.7792069967107
2019-07-29,896.0247120188582
2019-07-30,945.2287565789974
