,Date,Origin Movement ID,Origin Display Name,Destination Movement ID,Destination Display Name,Daily Mean Travel Time (Seconds),Daily Range - Lower Bound Travel Time (Seconds),Daily Range - Upper Bound Travel Time (Seconds),AM Mean Travel Time (Seconds),AM Range - Lower Bound Travel Time (Seconds),AM Range - Upper Bound Travel Time (Seconds),PM Mean Travel Time (Seconds),PM Range - Lower Bound Travel Time (Seconds),PM Range - Upper Bound Travel Time (Seconds),Midday Mean Travel Time (Seconds),Midday Range - Lower Bound Travel Time (Seconds),Midday Range - Upper Bound Travel Time (Seconds),Evening Mean Travel Time (Seconds),Evening Range - Lower Bound Travel Time (Seconds),Evening Range - Upper Bound Travel Time (Seconds),Early Morning Mean Travel Time (Seconds),Early Morning Range - Lower Bound Travel Time (Seconds),Early Morning Range - Upper Bound Travel Time (Seconds),weekday
2459,2019-01-15,3792,"Oracle Park, 24 Willie Mays Plaza, San Francisco, CA",3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",863.0,492.0,1513.0,1018.0,754.0,1375.0,1231.0,778.0,1947.0,677.0,476.0,963.0,485.0,320.0,734.0,,,,1
2460,2019-03-10,3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",1295.0,1073.0,1563.0,,,,1327.0,1150.0,1531.0,1337.0,1138.0,1570.0,,,,,,,6
2461,2019-02-21,3792,"Oracle Park, 24 Willie Mays Plaza, San Francisco, CA",3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",747.0,418.0,1334.0,533.0,372.0,765.0,1069.0,694.0,1647.0,686.0,409.0,1150.0,566.0,332.0,964.0,,,,3
2462,2019-01-26,3792,"Oracle Park, 24 Willie Mays Plaza, San Francisco, CA",3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",581.0,328.0,1026.0,481.0,348.0,666.0,441.0,293.0,665.0,868.0,418.0,1802.0,391.0,285.0,537.0,,,,5
2463,2019-03-23,3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",1269.0,1020.0,1579.0,,,,,,,1320.0,1119.0,1556.0,,,,,,,5
2464,2019-01-19,3394,"Fisherman's Wharf, San Francisco, CA",3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",954.0,672.0,1353.0,711.0,594.0,850.0,1169.0,805.0,1699.0,1041.0,704.0,1538.0,859.0,691.0,1067.0,657.0,564.0,766.0,5
2465,2019-01-04,3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",3394,"Fisherman's Wharf, 286-298 Jefferson St, San Francisco, CA",852.0,648.0,1119.0,795.0,623.0,1014.0,890.0,699.0,1134.0,889.0,662.0,1194.0,770.0,626.0,948.0,,,,4
2466,2019-01-08,3394,"Fisherman's Wharf, San Francisco, CA",3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",974.0,728.0,1303.0,999.0,791.0,1261.0,1197.0,940.0,1524.0,986.0,760.0,1279.0,904.0,708.0,1155.0,674.0,519.0,874.0,1
2467,2019-03-23,3394,"Fisherman's Wharf, San Francisco, CA",3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",1097.0,773.0,1558.0,792.0,635.0,986.0,1390.0,1087.0,1777.0,998.0,751.0,1326.0,1036.0,727.0,1476.0,,,,5
2468,2019-01-22,3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",1289.0,1024.0,1622.0,,,,1425.0,1128.0,1800.0,,,,1190.0,1000.0,1415.0,,,,1
2469,2019-01-26,3394,"Fisherman's Wharf, San Francisco, CA",3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",871.0,626.0,1213.0,648.0,542.0,774.0,1125.0,909.0,1393.0,1093.0,735.0,1625.0,969.0,772.0,1215.0,685.0,526.0,890.0,5
